0 0 3856050552 3583463011 -219458372 -512323841
0 1 0 130713033 0 -87811910
0 2 0 151255862 0 -78141543
0 3 0 135991547 0 -87868677
0 4 0 153965985 0 -101330277
0 5 0 131146824 0 -89906206
0 6 1 139960097 0 -88410478
0 7 0 130511169 0 -89836477
0 0 130511169 0 -101330277
1 0 0 159652523 0 -82290228
1 1 0 216852897 0 -70102596
1 2 0 176226801 0 -68467167
1 3 0 167812960 0 -90926007
1 4 0 188123861 0 -60088038
1 5 0 187943472 0 -76784995
1 6 0 185108793 0 -94487492
1 7 0 264557099 0 -37490352
1 0 159652523 0 -94487492
2 0 0 253781026 0 -109283629
2 1 0 263144055 0 -55688987
2 2 0 160704789 0 -83177864
2 3 0 169243184 0 -78897140
2 4 0 152638841 0 -94580543
2 5 0 177450867 0 -98163220
2 6 0 134011568 0 -89997311
2 7 0 229505870 0 -75217559
2 0 134011568 0 -109283629
3 0 0 135351598 0 -91373341
3 1 0 145062518 0 -88757581
3 2 0 153068337 0 -97180682
3 3 0 139333032 0 -92206857
3 4 0 139818364 0 -91989329
3 5 0 135824044 0 -91535257
3 6 1 198186969 0 -100449298
3 7 0 150100516 0 -85199003
3 0 135351598 0 -100449298
4 0 0 169522357 0 -75924669
4 1 0 137134009 0 -94361835
4 2 0 135171209 0 -91875705
4 3 0 151221502 0 -85749201
4 4 0 138194865 0 -96575302
4 5 0 135106784 0 -92359328
4 6 0 172129402 0 -75401212
4 7 0 144070381 0 -88254430
4 0 135106784 0 -96575302
5 0 0 137460426 0 -94411433
5 1 0 191078798 0 -101924521
5 2 0 146488448 0 -99757087
5 3 0 135373072 0 -96082596
5 4 0 132134667 0 -97044570
5 5 0 148966643 0 -100499218
5 6 0 132705898 0 -94864711
5 7 0 136524123 0 -95718490
5 0 132134667 0 -101924521
6 0 0 132332236 0 -97791985
6 1 0 165180145 0 -85112824
6 2 0 141201343 0 -97567044
6 3 0 134252086 0 -96272193
6 4 0 141033840 0 -96594801
6 5 0 147596550 0 -90830393
6 6 0 132233451 0 -96524041
6 7 0 143791208 0 -99330640
6 0 132233451 0 -99330640
7 0 0 150091925 0 -107548260
7 1 0 139178414 0 -96664491
7 2 0 141351666 0 -104745528
7 3 1 137778254 0 -102572090
7 4 0 142897854 0 -95918701
7 5 0 134552734 0 -98899150
7 6 0 145281561 0 -104934571
7 7 0 129708010 0 -101758319
7 0 129708010 0 -107548260
8 0 0 243705032 0 -45015509
8 1 0 172808007 0 -93576315
8 2 0 203568563 0 -80017279
8 3 0 150744760 0 -91788171
8 4 0 136631498 0 -102129962
8 5 0 153703993 0 -89746566
8 6 0 138220636 0 -102261392
8 7 0 140217795 0 -100668715
8 0 136631498 0 -102261392
9 0 0 152870769 0 -92984258
9 1 0 132439610 0 -98062864
9 2 0 136738872 0 -96951936
9 3 0 133311488 0 -99763207
9 4 0 137632225 0 -101710300
9 5 0 136876311 0 -96033178
9 6 0 152338194 0 -104048683
9 7 0 137761074 0 -96264355
9 0 132439610 0 -104048683
10 0 0 144624432 0 -94615333
10 1 0 140441134 0 -92005594
10 2 0 151642409 0 -86075850
10 3 0 190284229 0 -85368306
10 4 0 169492292 0 -83521178
10 5 0 141536351 0 -89812665
10 6 0 147304492 0 -99160666
10 7 1 179860344 0 -90564624
10 0 140441134 0 -99160666
11 0 0 136803297 0 -95247762
11 1 0 137580685 0 -90673252
11 2 0 145178482 0 -86208759
11 3 0 139964392 0 -92340529
11 4 0 152870769 0 -80307838
11 5 0 131739530 0 -92462549
11 6 0 169363444 0 -85787203
11 7 0 185203283 0 -71738828
11 0 131739530 0 -95247762
12 0 0 220658238 0 -47172901
12 1 0 132293580 0 -90166120
12 2 0 132697308 0 -88983832
12 3 0 162959647 0 -80248988
12 4 0 148369643 0 -84022539
12 5 0 133745279 0 -91055268
12 6 0 140114716 0 -87628314
12 7 0 139019500 0 -90258569
12 0 132293580 0 -91055268
13 0 0 170248207 0 -72072741
13 1 0 185933427 0 -63513301
13 2 0 143142668 0 -89142441
13 3 0 172095043 0 -69913412
13 4 0 173473727 0 -80777145
13 5 0 162349761 0 -73251830
13 6 0 141081084 0 -83546176
13 7 0 135974368 0 -88273637
13 0 135974368 0 -89142441
14 0 0 181385057 0 -63464488
14 1 0 149018184 0 -93831806
14 2 1 135360188 0 -87391034
14 3 0 158252363 0 -78191824
14 4 0 145062518 0 -89756273
14 5 0 136867721 0 -85531747
14 6 0 143829863 0 -90828867
14 7 0 147429046 0 -90230966
14 0 136867721 0 -93831806
15 0 0 174809462 0 -64248011
15 1 0 179177444 0 -61832586
15 2 0 138744621 0 -80596318
15 3 0 147819888 0 -81160145
15 4 0 150714695 0 -72012938
15 5 0 135918533 0 -82450271
15 6 0 142567142 0 -81635065
15 7 0 169646911 0 -64576915
15 0 135918533 0 -82450271
