0 0 0 0 3856043967 1665317734 3856043967 1666820973 3856043967 1565468334
0 1 3856043967 1566404637 3856043967 1681539825 3856043967 1681711624 3856043967 1574633794
0 2 3856043967 1575011752 3856043967 1690018091 3856043967 1690185595 3856043967 1598084316
0 3 3856043967 1598419323 3856043967 1715723470 3856043967 1715886679 3856043967 1610299203
0 4 3856043967 1610612736 3856043967 1728591192 3856043967 1728754401 3856043967 1638508548
0 5 3856043967 1638903685 3856043967 1754266507 3856043967 1754425420 3856043967 1647214447
0 6 3856043967 1647575224 3856043967 1762792017 3856043967 1762950931 3856043967 1667186045
0 7 3856043967 1667508167 3856043967 1788755094 3856043967 1788918303 3856043967 1688184140
1 0 3856044207 1689442565 3856044207 1790189613 3856044207 1790455901 3856044207 1701361099
1 1 3856044207 1703104856 3856044207 1802477515 3856044207 1802636428 3856044207 1714954671
1 2 3856044207 1716414960 3856044207 1815607230 3856044207 1815770438 3856044207 1727762263
1 3 3856044207 1729149538 3856044207 1832598120 3856044207 1832757034 3856044207 1746788969
1 4 3856044207 1750809058 3856044207 1850559673 3856044207 1850718587 3856044207 1770239490
1 5 3856044207 1771974657 3856044207 1884202152 3856044207 1884365361 3856044207 1810388844
1 6 3856044207 1811909263 3856044207 1914245448 3856044207 1914404362 3856044207 1828788484
1 7 3856044207 1830519356 3856044207 1931442498 3856044207 1931601411 3856044207 1844233187
2 0 3856044447 1846784397 3856044447 1940539238 3856044447 1940818411 3856044447 1860824645
2 1 3856044447 1862877640 3856044447 1952603801 3856044447 1952775600 3856044447 1874194878
2 2 3856044447 1875852736 3856044447 1974022803 3856044447 1974186012 3856044447 1901154388
2 3 3856044447 1904577477 3856044447 1995248532 3856044447 1995407445 3856044447 1917574048
2 4 3856044447 1921581253 3856044447 2025476512 3856044447 2025639720 3856044447 1948553647
2 5 3856044447 1952062636 3856044447 2043163187 3856044447 2043322101 3856044447 1963517313
2 6 3856044447 1972446550 3856044447 2065716060 3856044447 2065892154 3856044447 1985520431
