0 0 0 0 3856050552 3426891312 3856050552 3426891314 3856050552 3583463013
0 1 3856050552 3584373546 3856050552 3561918152 3856050552 3561918154 3856050552 3715086581
0 2 3856050552 3715580502 3856050552 3713066890 3856050552 3713066892 3856050552 3866836366
0 3 3856050552 3868786281 3856050552 3848913377 3856050552 3848913379 3856050552 4004777830
0 4 3856050552 4005349061 3856050552 3981001776 3856050552 3981001778 3856050552 4159315048
0 5 3856050552 4159753135 3856050552 4135420341 3856050552 4135420343 3856050552 4290899961
0 6 3856050552 4291338048 3856050552 4272907618 3856050552 4272907620 3856050553 136330851
0 7 3856050553 136794708 3856050553 112213815 3856050553 112213817 3856050553 267305879
1 0 3856050793 268723218 3856050793 266259251 3856050793 266259253 3856050793 428375743
1 1 3856050793 429720067 3856050793 468043919 3856050793 468043921 3856050793 646572966
1 2 3856050793 647384715 3856050793 667030948 3856050793 667030950 3856050793 823611518
1 3 3856050793 824294418 3856050793 817274891 3856050793 817274893 3856050793 992107380
1 4 3856050793 992889064 3856050793 1026862956 3856050793 1026862958 3856050793 1181012927
1 5 3856050793 1182288532 3856050793 1199475273 3856050793 1199475275 3856050793 1370232006
1 6 3856050793 1371541971 3856050793 1369608875 3856050793 1369608877 3856050793 1556650766
1 7 3856050793 1557479695 3856050793 1652267892 3856050793 1652267894 3856050793 1822036796
2 0 3856051033 1825107697 3856051033 1842714581 3856051033 1842714583 3856051033 2078888725
2 1 3856051033 2080250229 3856051033 2156133269 3856051033 2156133271 3856051033 2343394286
2 2 3856051033 2344154495 3856051033 2341329025 3856051033 2341329027 3856051033 2504859286
2 3 3856051033 2505731165 3856051033 2511455617 3856051033 2511455619 3856051033 2674974351
2 4 3856051033 2675906359 3856051033 2657645236 3856051033 2657645238 3856051033 2828545202
2 5 3856051033 2830048440 3856051033 2820610653 3856051033 2820610655 3856051033 3007499309
2 6 3856051033 3009410569 3856051033 2986419042 3856051033 2986419044 3856051033 3143422139
2 7 3856051033 3144603255 3856051033 3184138631 3856051033 3184138633 3856051033 3374109127
3 0 3856051273 3375281653 3856051273 3351584111 3856051273 3351584113 3856051273 3510633253
3 1 3856051273 3512587463 3856051273 3496361141 3856051273 3496361143 3856051273 3657649983
3 2 3856051273 3659170402 3856051273 3638523888 3856051273 3638523890 3856051273 3812238741
3 3 3856051273 3813995383 3856051273 3791455042 3856051273 3791455044 3856051273 3953328417
3 4 3856051273 3955222497 3856051273 3933142350 3856051273 3933142352 3856051273 4095040863
3 5 3856051273 4097089562 3856051273 4073466327 3856051273 4073466329 3856051273 4232913608
3 6 3856051273 4234494156 3856051273 4233138342 3856051273 4233138344 3856051274 137713831
3 7 3856051274 139474767 3856051274 129326022 3856051274 129326024 3856051274 289575285
4 0 3856051514 291349106 3856051514 300185615 3856051514 300185617 3856051514 460871465
4 1 3856051514 461837833 3856051514 436043002 3856051514 436043004 3856051514 598971844
4 2 3856051514 600840154 3856051514 576550053 3856051514 576550055 3856051514 736011365
4 3 3856051514 740168893 3856051514 730030443 3856051514 730030445 3856051514 891390397
4 4 3856051514 892996715 3856051514 865518845 3856051514 865518847 3856051514 1031191582
4 5 3856051514 1034009081 3856051514 1009203145 3856051514 1009203147 3856051514 1169115867
4 6 3856051514 1169867487 3856051514 1180530976 3856051514 1180530978 3856051514 1341996891
4 7 3856051514 1343478655 3856051514 1327259415 3856051514 1327259417 3856051514 1487549038
5 0 3856051754 1491934199 3856051754 1466252979 3856051754 1466252981 3856051754 1629394627
5 1 3856051754 1631086845 3856051754 1624701723 3856051754 1624701725 3856051754 1822165645
5 2 3856051754 1823823502 3856051754 1797310639 3856051754 1797310641 3856051754 1970311952
5 3 3856051754 1974173127 3856051754 1945777067 3856051754 1945777069 3856051754 2109546201
5 4 3856051754 2110671483 3856051754 2079694246 3856051754 2079694248 3856051754 2242806152
5 5 3856051754 2243858419 3856051754 2217842522 3856051754 2217842524 3856051754 2392825064
5 6 3856051754 2394543051 3856051754 2366031289 3856051754 2366031291 3856051754 2527248951
5 7 3856051754 2528795139 3856051754 2501338710 3856051754 2501338712 3856051754 2665319264
6 0 3856051994 2667290654 3856051994 2635664787 3856051994 2635664789 3856051994 2799622892
6 1 3856051994 2800297202 3856051994 2797774450 3856051994 2797774452 3856051994 2965477349
6 2 3856051994 2966722889 3856051994 2939756516 3856051994 2939756518 3856051994 3107924234
6 3 3856051994 3109380228 3856051994 3080234078 3856051994 3080234080 3856051994 3243632316
6 4 3856051994 3245393252 3856051994 3219315371 3856051994 3219315373 3856051994 3386427094
6 5 3856051994 3387487950 3856051994 3370455832 3856051994 3370455834 3856051994 3535084502
6 6 3856051994 3535977855 3856051994 3505570539 3856051994 3505570541 3856051994 3668211308
6 7 3856051994 3669113251 3856051994 3641678215 3856051994 3641678217 3856051994 3812904461
7 0 3856052234 3816447809 3856052234 3783945511 3856052234 3783945513 3856052234 3966539736
7 1 3856052234 3968622795 3856052234 3941547511 3856052234 3941547513 3856052234 4107801211
7 2 3856052234 4109248615 3856052234 4075178920 3856052234 4075178922 3856052234 4250600283
7 3 3856052234 4255058459 3856052234 4221375496 3856052234 4221375498 3856052235 97869419
7 4 3856052235 99415608 3856052235 74945834 3856052235 74945836 3856052235 242313464
7 5 3856052235 243769458 3856052235 212146675 3856052235 212146677 3856052235 378322194
7 6 3856052235 379000799 3856052235 346707008 3856052235 346707010 3856052235 524282362
7 7 3856052235 525944515 3856052235 489040201 3856052235 489040203 3856052235 655652527
8 0 3856052475 662408511 3856052475 739245518 3856052475 739245520 3856052475 906113545
