0 0 3856053818 245581934 -219456739 -90544353
0 1 0 168186624 0 -122902637
0 2 0 167538084 0 -124953483
0 3 0 184640644 0 -116187455
0 4 0 176368537 0 -126345052
0 5 0 168607531 0 -123052960
0 6 0 200373109 0 -111722836
0 7 0 172180944 0 -126506114
0 0 167538084 0 -126506114
1 0 0 208237194 0 -137271450
1 1 0 169870252 0 -123387968
1 2 0 196443214 0 -111093624
1 3 0 171571059 0 -122743722
1 4 0 181934815 0 -119722213
1 5 0 172279729 0 -119851062
1 6 0 215293826 0 -142401788
1 7 0 191877664 0 -109936131
1 0 169870252 0 -142401788
2 0 0 187075890 0 -114553220
2 1 0 198427489 0 -105059195
2 2 0 190529044 0 -118461640
2 3 0 169505179 0 -131546258
2 4 0 188905546 0 -109459389
2 5 0 179168855 0 -115139483
2 6 1 187655711 0 -110372069
2 7 0 169427870 -1 -130004365
2 0 169427870 0 -131546258
3 0 0 318931386 0 -44845901
3 1 0 158037617 0 -124811749
3 2 0 160829345 0 -126138894
3 3 0 173774377 0 -129738076
3 4 0 194123931 0 -108838766
3 5 0 154571578 0 -125445258
3 6 0 173959060 0 -130740952
3 7 0 159751309 0 -127541201
3 0 154571578 0 -130740952
4 0 0 163779988 0 -128297115
4 1 0 184962767 0 -119131655
4 2 0 186616329 0 -128423816
4 3 0 174461572 0 -128604206
4 4 0 177682798 0 -115044994
4 5 0 222127119 0 -104062762
4 6 0 173267571 0 -123420180
4 7 0 196211286 0 -114396454
4 0 163779988 0 -128604206
5 0 0 200072462 0 -111297635
5 1 0 213936616 0 -114295522
5 2 0 203388176 0 -126115272
5 3 0 224480761 0 -137829795
5 4 0 229669081 0 -92629559
5 5 1 206691006 0 -108886011
5 6 0 190262756 0 -122348586
5 7 0 246857541 0 -86212878
5 0 190262756 0 -137829795
6 0 0 191873369 0 -127891241
6 1 0 177051438 0 -126875481
6 2 0 161868727 0 -125541894
6 3 0 161413461 0 -125159641
6 4 0 177983445 0 -116307714
6 5 0 178640575 0 -119501022
6 6 0 189837555 0 -137185550
6 7 0 182162447 0 -113488068
6 0 161413461 0 -137185550
7 0 0 181307750 0 -137022342
7 1 0 159227323 0 -124135292
7 2 0 171644073 0 -117974162
7 3 0 163470751 0 -123168924
7 4 0 163887363 0 -124197569
7 5 0 157045480 0 -125226214
7 6 0 156916631 0 -124848256
7 7 0 172966923 0 -118137370
7 0 156916631 0 -137022342
8 0 0 256834750 0 -79759690
8 1 0 200201310 0 -119135950
8 2 0 218768455 0 -113292647
8 3 1 202185586 0 -113934745
8 4 0 182364311 -1 -125606318
8 5 0 171352015 0 -123385820
8 6 0 223699076 0 -92230128
8 7 0 254004366 0 -119254062
8 0 171352015 0 -123385820
9 0 0 196881300 0 -112691352
9 1 0 214658170 0 -100805030
9 2 0 192070937 0 -122694330
9 3 0 254451042 0 -85813447
9 4 0 301300547 0 -121328531
9 5 0 234814453 0 -90649579
9 6 0 268005960 0 -82055350
9 7 0 254824705 0 -117606941
9 0 192070937 0 -122694330
10 0 0 160159330 0 -124425203
10 1 0 168044890 0 -126267743
10 2 0 163032664 0 -123675731
10 3 0 170965468 0 -119614839
10 4 0 180762290 0 -116305567
10 5 0 183416579 0 -120110907
10 6 0 314022239 0 -46514495
10 7 1 190864052 0 -118736518
10 0 160159330 0 -126267743
11 0 0 181501024 0 -129796059
11 1 0 246685742 0 -103079215
11 2 0 185418034 0 -115055731
11 3 0 305058643 0 -93520765
11 4 0 209190678 0 -121070833
11 5 0 185216170 0 -111420042
11 6 0 228036995 0 -93823560
11 7 0 168650481 0 -120063663
11 0 168650481 0 -129796059
12 0 0 161619620 0 -126216204
12 1 0 160885179 0 -123340723
12 2 0 177206055 0 -133717364
12 3 0 174964083 0 -129461051
12 4 0 170067819 0 -131694434
12 5 0 158329675 0 -124794569
12 6 0 184000694 0 -134877005
12 7 0 159618165 0 -123372935
12 0 158329675 0 -134877005
13 0 0 204135501 0 -123851824
13 1 0 195678710 0 -108477989
13 2 0 230351981 0 -109824461
13 3 0 226130028 0 -102495099
13 4 0 252045861 0 -96117073
13 5 1 238594023 0 -102404905
13 6 0 243610545 0 -95717641
13 7 0 244649927 0 -102026947
13 0 195678710 0 -123851824
